ciphertext_size,encrypt_time,total_execution_time
512,0.010761,11
512,0.008769,10
512,0.005634,8
512,0.005577,8
512,0.005984,9
512,0.006005,9
512,0.011091,9
512,0.006676,9
512,0.006091,9
512,0.005833,8
512,0.005833,8
512,0.005538,8
512,0.00551,9
512,0.011285,9
512,0.008285,9
512,0.011007,12
512,0.006089,8
512,0.005229,8
512,0.008282,9
512,0.008001,8
512,0.005556,8
512,0.010057,9
512,0.007607,8
512,0.009491,9
512,0.005834,8
512,0.008786,9
512,0.01079,9
512,0.008269,9
512,0.009007,9
512,0.005918,8
512,0.008244,9
512,0.007905,8
512,0.009253,9
512,0.006754,8
512,0.008103,9
512,0.009197,9
512,0.00768,8
512,0.005621,9
512,0.01026,9
512,0.005704,8
512,0.006094,9
512,0.008231,8
512,0.007983,9
512,0.013368,11
512,0.005928,8
512,0.005733,9
512,0.005804,8
512,0.00572,8
512,0.010052,9
512,0.007951,8
