num_records,intersection_mean,intersection_median,intersection_std,intersection_min,intersection_max,total_mean,total_median,total_std,total_min,total_max
1024,0.0029400000000000003,0.003,0.0002398979374820952,0.002,0.003,0.00785226528,0.007779515000000001,0.0006407700066702923,0.005921535,0.009646863
1048576,0.57138,0.587,0.07287195647720957,0.32,0.623,0.7358840749,0.7562803794999999,0.09767586962269117,0.404175488,0.800085061
131072,0.05564,0.059,0.004801190328598581,0.049,0.065,0.07088450126,0.07385225200000001,0.005313375258945837,0.0627041,0.080413157
16384,0.00964,0.01,0.0007761758689832073,0.009,0.013,0.017949281140000002,0.016087788,0.01232482747814169,0.015190677,0.103006112
2048,0.00306,0.003,0.0002398979374820952,0.003,0.004,0.00865624378,0.008406914000000001,0.000652327186888269,0.00793965,0.010765351
262144,0.11481999999999999,0.1205,0.021087466051894335,0.06,0.137,0.14773173509999998,0.1580548725,0.028915391267065157,0.078176556,0.177881331
32768,0.01658,0.016,0.0014581229197086199,0.015,0.019,0.0239447819,0.023145338,0.0020748265381119557,0.021456811,0.027704462
4096,0.00408,0.004,0.0006006798869036754,0.003,0.008,0.009669571620000001,0.0094577415,0.0009182468970930064,0.006940608,0.014609611
524288,0.27342,0.273,0.0067191168029916626,0.257,0.286,0.35116146444,0.3512523575,0.008762296215024326,0.331035731,0.366193329
65536,0.029980000000000003,0.032,0.0031525176204009993,0.025,0.033,0.04000760312,0.0423204325,0.0038460107764742347,0.034464546,0.045315145
8192,0.006199999999999999,0.006,0.0005714285714285714,0.006,0.009,0.012350363279999999,0.012149228500000001,0.0010186531469339355,0.010981236,0.016938611
