decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.071,0.246,0,0.01,1,998.656486
2084348484,3.851,0.48,0,0.021,1,1461.373344
2084348484,3.765,0.476,0,0.023,1,1471.5786
2084348484,2.073,0.247,0,0.011,1,824.2931209999999
2084348484,3.861,0.49,0,0.021,1,1493.1118000000001
2084348484,2.09,0.247,0,0.01,1,1051.097281
2084348484,2.082,0.242,0,0.01,1,820.388351
2084348484,3.89,0.491,0,0.028,1,1497.386228
2084348484,3.897,0.483,0,0.022,1,1485.687159
2084348484,2.049,0.244,0,0.009,1,959.191151
2084348484,2.055,0.242,0,0.009,1,824.3550200000001
2084348484,2.116,0.252,0,0.015,1,874.830565
2084348484,3.876,0.475,0,0.021,1,1456.6994849999999
2084348484,2.048,0.242,0,0.009,1,840.551613
2084348484,2.03,0.245,0,0.012,1,907.981627
2084348484,2.056,0.248,0,0.01,1,831.532187
2084348484,2.077,0.248,0,0.015,1,815.877668
2084348484,2.07,0.244,0,0.015,1,780.666928
2084348484,3.753,0.473,0,0.018,1,1453.109708
2084348484,3.862,0.478,0,0.024,1,1476.3191490000002
2084348484,3.816,0.483,0,0.03,1,1479.641186
2084348484,2.09,0.251,0,0.011,1,843.638459
2084348484,2.08,0.25,0,0.013,1,819.796901
2084348484,3.835,0.482,0,0.019,1,1473.842066
2084348484,3.859,0.256,0,0.011,1,1178.38379
2084348484,3.912,0.489,0,0.027,1,1315.163235
2084348484,2.071,0.245,0,0.013,1,934.22288
2084348484,2.085,0.242,0,0.01,1,935.97086
2084348484,3.816,0.486,0,0.019,1,1474.2022180000001
2084348484,2.074,0.25,0,0.014,1,951.070177
2084348484,3.823,0.474,0,0.019,1,1459.666475
2084348484,2.06,0.245,0,0.011,1,854.9318519999999
2084348484,3.868,0.473,0,0.019,1,1459.418739
2084348484,3.892,0.281,0,0.014,1,1182.890067
2084348484,3.843,0.485,0,0.02,1,1474.194087
2084348484,3.817,0.484,0,0.02,1,1474.7619510000002
2084348484,3.814,0.483,0,0.02,1,1477.436484
2084348484,3.812,0.476,0,0.02,1,1457.152653
2084348484,3.807,0.478,0,0.019,1,1479.627235
2084348484,3.786,0.478,0,0.019,1,1470.118896
2084348484,3.849,0.49,0,0.022,1,1498.989364
2084348484,4.213,0.481,0,0.026,1,1477.484545
2084348484,3.928,0.494,0,0.023,1,1517.652169
2084348484,3.83,0.49,0,0.02,1,1510.692505
2084348484,3.86,0.49,0,0.021,1,1503.043381
2084348484,3.845,0.48,0,0.021,1,1485.456713
2084348484,2.075,0.247,0,0.01,1,1005.8376380000001
2084348484,3.795,0.477,0,0.025,1,1461.36973
2084348484,3.863,0.49,0,0.024,1,1505.3625049999998
2084348484,3.832,0.481,0,0.027,1,1479.437686
